DATE,OPPONENT,WINNER,NOTABLE
2008-03-30,ATL,George,"Teddy cuts across the outfield, loses anyway"
2008-04-07,FLA,Abe,
2008-04-09,FLA,Tom,
2008-04-10,FLA,Tom,
2008-04-11,ATL,George,
2008-04-12,ATL,Tom,
2008-04-13,ATL,George,Teddy roots for the Capitals from penalty box
2008-04-23,NYM,Abe,Teddy pulls a hamstring
2008-04-24,NYM,George,
2008-04-25,CHC,Abe,"Teddy cuts a corner, is disqualified"
2008-04-26,CHC,George,Teddy is attacked by a panther
2008-04-27,CHC,Tom,Teddy slips on a banana in pajamas
2008-04-29,ATL,Tom,
2008-04-30,ATL,Abe,
2008-05-01,PIT,Abe,
2008-05-02,PIT,Abe,
2008-05-03,PIT,Abe,Teddy chases Pittsburgh’s pierogies
2008-05-04,PIT,George/Abe,Teddy loses relay race with pierogies
2008-05-09,FLA,Abe,
2008-05-10,FLA,George,"Abe takes big lead then stops, waits and loses."
2008-05-11,FLA,Abe,Teddy delivers Mother’s Day flowers to the stands.
2008-05-19,PHI,Tom,
2008-05-20,PHI,George,George holds off Abe on George’s T-Shirt Tuesday
2008-05-21,PHI,Tom,Teddy stops and poses with a sign.
2008-05-23,MIL,George,
2008-05-24,MIL,Abe,Teddy high-steps to finish line as Abe passes him.
2008-05-25,MIL,Abe,
2008-05-26,MIL,Abe,Teddy collapses as he approaches the finish line
2008-06-03,STL,Tom,Tom wins on his T-Shirt Tuesday
2008-06-05,STL,George,
2008-06-05,STL,Abe,"Panther chases, attacks Teddy at the finish line"
2008-06-06,SFO,Abe,
2008-06-07,SFO,Tom,Teddy is disqualified for riding a motor scooter
2008-06-08,SFO,Abe,
2008-06-09,SFO,Tom,Teddy rides a Razor scooter and finishes last.
2008-06-20,TEX,Abe,"Teddy at Scoreboard Walk opening, misses race."
2008-06-21,TEX,Abe,"Teddy is distracted by kangaroo, loses the lead."
2008-06-22,TEX,Abe,Thomas Jefferson hip checks Teddy Roosevelt.
2008-06-23,LAA,Tom,Teddy and George tackle and beat Abe Lincoln.
2008-06-24,LAA,Abe,Abe shoves Teddy after tripping Tom & George.
2008-06-25,LAA,Abe,Teddy chases the rally penguin into the stands.
2008-06-27,BAL,George,Teddy is tripped by the Baltimore Oriole Bird.
2008-06-28,BAL,*,Teddy wins “unsanctioned” grudge match vs. Bird.
2008-06-29,BAL,Abe,Teddy skips race to “assist” grounds crew.
2008-07-08,ARI,Abe,Abe leaps over Teddy to victory.
2008-07-09,ARI,Abe,
2008-07-10,ARI,Abe,
2008-07-11,HOU,Abe,Teddy runs the wrong way.
2008-07-12,HOU,Abe,
2008-07-13,HOU,Abe,Potomac’s Uncle Slam joins the presidents race.
2008-07-29,PHI,George,"Screech chased by panther, runs into Teddy."
2008-07-30,PHI,Abe,
2008-07-31,PHI,Abe,"Tom eyes Martha W., George takes him out."
2008-08-01,CIN,George,
2008-08-02,CIN,Tom,
2008-08-03,CIN,Abe,Teddy stops to visit with a giant Panda.
2008-08-12,NYM,Abe,Teddy abandons lead to chase panther.
2008-08-13,NYM,Abe,Abe wins relay race vs. the other 3 presidents.
2008-08-14,NYM,Abe,
2008-08-15,COL,Abe,"Teddy pulls hamstring, loses the lead"
2008-08-16,COL,Tom,Teddy disqualified for cheating in walk-race
2008-08-17,COL,George/Abe,Presidents run Olympic tribute hurdle relay
2008-08-26,LAD,Abe,Teddy races in Manny Ramirez-style dreadlocks
2008-08-27,LAD,Abe,
2008-08-28,LAD,Abe,
2008-08-29,ATL,Tom,
2008-08-30,ATL,Abe,Abe wins his 40th race of the season on 70’s night
2008-08-31,ATL,Abe,"Teddy leans to the tape too early, is passed by Abe"
2008-09-01,PHI,Abe,"Teddy fades at the finish, is passed again by Abe"
2008-09-02,PHI,Abe,Teddy falls in the outfield corner
2008-09-03,PHI,Abe,
2008-09-15,NYM,Abe,Teddy runs out of steam in the home stretch
2008-09-16,NYM,Abe,
2008-09-17,NYM,George,"Leprechaun appears, tackles Abe Lincoln"
2008-09-18,NYM,George,Teddy blocks Abe allowing George to win.
2008-09-19,SDG,George,2 races/2 wins for George in 14-inning game.
2008-09-20,SDG,Abe,Abe Lincoln leads wire to wire.
2008-09-21,SDG,Tom,Presidents race on Segways.
2008-09-22,FLA,Abe,
2008-09-23,FLA,Abe,
2008-09-24,FLA,,Final game rained out. No presidents race.
2009-04-13,PHI,Abe,Teddy & “That Cat” spoil Thomas Jefferson’s birthday
2009-04-16,PHI,Tom,"Teddy fades, Tom trips but beats Abe in photo finish."
2009-04-17,FLA,Tom,Jefferson leads wire-to-wire.
2009-04-18,FLA,Abe,Teddy distracted by a clown juggling in the outfield.
2009-04-19,FLA,George,Tom takes down Abe Lincoln in the outfield.
2009-04-20,ATL,Abe,"After rain delay, Teddy races with an umbrella."
2009-04-21,ATL,George,Presidents race with hockey sticks.
2009-04-22,ATL,Abe,Teddy stops mid-race to pass out Earth Day goodies.
2009-04-30,STL,Abe,
2009-05-01,STL,Tom,Presidents race blindfolded. Teddy runs the wrong way.
2009-05-02,STL,Tom/George,Tom & George win baton relay vs. Teddy & Abe
2009-05-04,HOU,Abe,
2009-05-05,HOU,Abe,Teddy wears sombrero for Cinco de Mayo
2009-05-15,PHI,Tom,
2009-05-16,PHI,George,Teddy chases the other presidents on a Segway
2009-05-16,PHI,Abe,"After filly wins Preakness, “Philly” races the presidents"
2009-05-17,PHI,Abe,Teddy imitates Nats bullpen and collapses
2009-05-18,PIT,Abe,"Pittsburgh’s Pierogies visit Nats Park, get clotheslined"
2009-05-19,PIT,Tom/George,Tom & George win relay race with Pittsburgh’s Pierogies
2009-05-20,PIT,Abe,Abe teams with Jalapeño Hannah in 3-legged race
2009-05-21,PIT,Chester*,*Presidents beaten by visiting Pittsburgh pierogies!
2009-05-22,BAL,George,Screech fights The Bird. Teddy trails from wire to wire.
2009-05-23,BAL,Tom,Orioles Bird tackles Teddy short of finish line
2009-05-24,BAL,George,Teddy exacts revenge on the Oriole Bird
2009-06-02,SFO,Tom,"Teddy cuts the outfield corner, loses anyway"
2009-06-04,SFO,George,George wins in the first game of a doubleheader
2009-06-04,SFO,Tom,
2009-06-05,NYM,Abe,
2009-06-06,NYM,George,
2009-06-07,NYM,George,Abe stops and rips up “Let Teddy Win” sign.
2009-06-09,CIN,Abe,
2009-06-10,CIN,Tom,Teddy gives up lead to welcome draft pick Drew Storen
2009-06-11,CIN,Abe,
2009-06-19,TOR,Abe,"On Beach Bash night, Abe wins wearing floaties"
2009-06-20,TOR,Tom,"George falls at the finish, gets ejected by umpires"
2009-06-21,TOR,Abe,"George suspended, sits out race on Fathers Day"
2009-06-23,BOS,Abe,Teddy Roosevelt races on a unicycle
2009-06-24,BOS,Abe,"Teddy throws Tea Party, Abe’s feet are on fire."
2009-06-25,BOS,Tom/George,Presidents run relay on Segways & bicycle taxis
2009-07-03,ATL,Tom,"Teddy dances to Michael Jackson, Tom moonwalks"
2009-07-04,ATL,Tom,"Abe jumps into the stands, gives up lead"
2009-07-05,ATL,George,
2009-07-16,CHI,George,"Teddy & That Cat tackle George, Tom, & Abe"
2009-07-17,CHI,Abe,"Teddy dresses as Santa, throws Webkinz into stands"
2009-07-18,CHI,Abe,"Abe takes 20th victory, taunts the other presidents"
2009-07-19,CHI,Abe,
2009-07-20,NYM,George,Teddy wears “space hat” to commemorate moon walk
2009-07-21,NYM,George,George passes Tom for 2nd place in the standings
2009-07-22,NYM,Abe,"Abe stakes big lead, turns to taunt other presidents"
2009-07-23,STL,Tom,"Teddy leads early, then Tom passes the field"
2009-07-24,SD,Abe,"George, Tom, & Teddy all go down. Teddy loses #250."
2009-07-25,SD,Abe,
2009-07-26,SD,Abe,Teddy disqualified for riding a motor scooter
2009-08-04,FLA,Abe,Teddy races with band-aid and arm in a sling
2009-08-05,FLA,Abe,
2009-08-06,FLA,Tom,"Teddy gets bumped, spins and runs the wrong way"
2009-08-07,ARI,Abe,Abe comes from behind to win at the wire
2009-08-08,ARI,Tom,Teddy races as the Lone Ranger with stick horse
2009-08-09,ARI,Abe,Tom pulls hamstring & loses lead. Abe passes Teddy
2009-08-18,COL,George,Teddy blows a big lead.
2009-08-19,COL,Abe,Teddy stops to send a Twitter update
2009-08-20,COL,Tom,"Teddy pulls a muscle, is helped off the field"
2009-08-21,MIL,George,Teddy tackles fake Milwaukee racing sausages
2009-08-22,MIL,Abe,3 “un-sausages” are passed by the presidents
2009-08-23,MIL,Abe,Teddy holds off “un-sausages” for Abe to run through
2009-08-24,MIL,Tom,Presidents take down racing “un-sausages” en mass
2009-09-04,FLA,George,
2009-09-05,FLA,George,Teddy scratched due to injury during pre-game warmups
2009-09-06,FLA,George,Teddy returns but can’t hold lead in the stretch.
2009-09-08,PHI,N/A,"“That Cat” helps Teddy win, & get disqualified"
2009-09-09,PHI,Tom,Tom collides with Abe at the finish line
2009-09-10,PHI,Abe,Abe and Tom at the wire again
2009-09-22,LAD,George,Teddy misses race with recurring hamstring injury
2009-09-23,LAD,Abe,Teddy sits out 2nd night in a row
2009-09-24,LAD,Tom,George tackles Abe short of the finish line
